iter	Logloss
0	0.6877992854
1	0.6825019506
2	0.6776406527
3	0.673038614
4	0.6684802376
5	0.6637822164
6	0.6594505273
7	0.6550439428
8	0.6508118203
9	0.6466028159
10	0.6426459692
11	0.6389798004
12	0.6354048103
13	0.6316942834
14	0.6280595772
15	0.6246814648
16	0.6211587684
17	0.6178692623
18	0.6146289317
19	0.6116353638
20	0.6086074378
21	0.6056197084
22	0.6028780862
23	0.5999356191
24	0.5974001656
25	0.5947804279
26	0.5922798587
27	0.5896747511
28	0.5872992892
29	0.584868014
30	0.5823493664
31	0.5801937879
32	0.5779813053
33	0.5757724978
34	0.573759196
35	0.5714421218
36	0.5693909394
37	0.5672113315
38	0.5652041936
39	0.5632300591
40	0.5613356176
41	0.5595901673
42	0.5577286067
43	0.5560424753
44	0.5542346584
45	0.5525565454
46	0.5510567881
47	0.5493793798
48	0.547707002
49	0.546135617
50	0.5447386873
51	0.5431863895
52	0.5416487309
53	0.5402029491
54	0.5388235847
55	0.5374310319
56	0.5360383542
57	0.5347638992
58	0.5333485858
59	0.5320186529
60	0.5308088342
61	0.5295053285
62	0.528112182
63	0.5268176693
64	0.5255968508
65	0.5245088115
66	0.5232653701
67	0.5221161397
68	0.5210099752
69	0.5199528012
70	0.5189977111
71	0.5179184475
72	0.5168589599
73	0.5158365771
74	0.5147094213
75	0.5137326478
76	0.512810734
77	0.5117526254
78	0.5108969509
79	0.5099871325
80	0.5090313605
81	0.5080417206
82	0.5071570523
83	0.506161004
84	0.505200742
85	0.5041927559
86	0.5033337583
87	0.5024405699
88	0.5015410107
89	0.5006052
90	0.4997812015
91	0.498926503
92	0.4981228566
93	0.497357694
94	0.4964743344
95	0.4957732466
96	0.4949427294
97	0.494244281
98	0.4935014267
99	0.4927212726
