iter	Passed	Remaining
0	1623	160707
1	2281	111801
2	2852	92226
3	3660	87861
4	4356	82771
5	5195	81396
6	5991	79605
7	6926	79650
8	7588	76729
9	8211	73906
10	8883	71878
11	9555	70074
12	10350	69266
13	11404	70057
14	12374	70122
15	13281	69728
16	14245	69551
17	15132	68936
18	16118	68714
19	16999	67996
20	17585	66155
21	18179	64454
22	19110	63977
23	20130	63747
24	21269	63807
25	22152	63048
26	23497	63530
27	24549	63126
28	26576	65065
29	28031	65407
30	28619	63700
31	29195	62040
32	29797	60497
33	30372	58958
34	30936	57452
35	31510	56019
36	32111	54676
37	32698	53349
38	33275	52046
39	33867	50801
40	34447	49570
41	35031	48377
42	35619	47216
43	36195	46067
44	36785	44959
45	37372	43872
46	37957	42802
47	38538	41750
48	39129	40726
49	39732	39732
50	40312	38731
51	40902	37756
52	41497	36799
53	42119	35879
54	42730	34961
55	43304	34025
56	43889	33109
57	44465	32199
58	45050	31306
59	45643	30429
60	46227	29555
61	46804	28686
62	47378	27825
63	47971	26983
64	48545	26139
65	49132	25310
66	49739	24498
67	50317	23678
68	50922	22878
69	51511	22076
70	52120	21288
71	52742	20510
72	53339	19728
73	53933	18949
74	54501	18167
75	55101	17400
76	55716	16642
77	56302	15880
78	56912	15128
79	57498	14374
80	58101	13628
81	58676	12880
82	59253	12136
83	59838	11397
84	60402	10659
85	60991	9928
86	61578	9201
87	62163	8476
88	62748	7755
89	63317	7035
90	63904	6320
91	64481	5607
92	65062	4897
93	65641	4189
94	66216	3485
95	66792	2783
96	67380	2083
97	67979	1387
98	68582	692
99	69170	0
